Site Name,Wetland ID,Average Slope
Corning Bend,1,0.048229
Corning Bend,2,0.012639
Corning Bend,3,0.016143
Corning Bend,4,0.033333
Corning Bend,5,0.04125
Aspinwall Bend,1,0.024167
Nishnabotna,1,0.079369
Nishnabotna,2,0.014439
Nishnabotna,3,0.183333
Nishnabotna,4,0.04
Nishnabotna,5,0.125556
Nishnabotna,6,0.119889
Nishnabotna,7,0.1175
Copeland Bend,1,0.034365
Copeland Bend,3,0.094
Copeland Bend,4,0.100625
Copeland Bend,5,0.0675
Copeland Bend,6,0.046481
Copeland Bend,7,0.046174
Copeland Bend,9,0.033252
Copeland Bend,10,0.045167
MU Payne,1,0.096012
MU Payne,2,0.025337
De Soto Bend,1,0.047897
De Soto Bend,2,0.039806
De Soto Bend,3,0.089319
De Soto Bend,4,0.016909
Soldier Bend,1,0.2666667
Soldier Bend,2,0.157143
Soldier Bend,3,0.243889
